pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg],Temp Gradient [degC]
114.0,15559,-69.9,-78.9,26.0,0.01,252.0,62.0,378.0,378.0,378.0,-79.63617145943664,6.217194815644378e-06,58.96550401029952,19.159053651246747,9.736171459436633,203.25123982499997,193.514562439598,,,1.3000000000000043
111.0,15719,-67.3,-77.3,23.0,0.01,251.0,56.0,385.8,385.8,385.8,-81.08903795370817,5.048524995985254e-06,52.949040233561746,18.231816649600773,13.789037953708146,205.85125568499996,192.06155351727807,,,2.0
106.0,15998,-65.9,-75.9,24.0,0.01,248.0,47.0,393.5,393.6,393.5,-83.55809980119423,3.512107290124131e-06,43.577641164639005,17.606509890547876,17.658099801194226,207.25126422499997,189.59230637773362,,,-0.3999999999999986
102.0,16231,-68.1,-78.1,23.0,0.01,246.0,39.0,393.7,393.7,393.7,-85.60087050764872,2.577071902708184e-06,35.628272848061435,15.862729079956203,17.500870507648727,205.051250805,187.54942432218238,,,-1.0
100.0,16350,-67.9,-77.9,23.0,0.01,245.0,35.0,396.3,396.3,396.3,-86.65117604285876,2.190185813689295e-06,,,18.75117604285876,205.25125202499999,186.49907312205912,,,-0.8000000000000043
93.2,16770,-69.7,-79.7,22.0,0.01,235.0,28.0,400.8,400.8,400.8,-90.27367732664707,1.2286036498569892e-06,,,20.5736773266471,203.451241045,182.87645972968855,,,0.20000000000000284
91.3,16893,-67.5,-77.5,23.0,0.01,232.0,25.0,407.5,407.6,407.5,-91.33893191207842,1.0303403256860143e-06,,,23.838931912078408,205.65125446499997,181.81118235755937,,,0.5
86.2,17236,-68.7,-78.7,22.0,0.01,223.0,19.0,411.8,411.9,411.8,-94.24099338057387,6.29756286955735e-07,,,25.540993380573866,204.451247145,178.90907534755985,,,0.14999999999999858
84.2,17374,-67.2,-77.9,21.0,0.01,220.0,17.0,417.6,417.7,417.6,-95.42731128322556,5.117602758217293e-07,,,28.22731128322556,205.95125629499998,177.72274419713585,,,1.1000000000000014
83.4,17434,-66.5,-77.5,20.0,0.01,224.0,17.0,420.2,420.3,420.2,-95.90990854439575,4.69838358250349e-07,,,29.409908544395762,206.65126056499997,177.2401422528623,,,0.45000000000000284
80.1,17678,-66.3,-77.3,20.0,0.01,240.0,19.0,425.5,425.6,425.5,-97.91429000634332,3.274697005570691e-07,,,31.61429000634331,206.85126178499996,175.2357449981318,,,0.29999999999999716
74.5,18116,-65.9,-76.9,20.0,0.01,222.0,23.0,435.2,435.3,435.2,-101.41592481434097,1.6995241867516718e-07,,,35.51592481434096,207.25126422499997,171.7340929894981,,,-0.3500000000000014
72.4,18288,-67.0,-77.5,21.0,0.01,215.0,24.0,436.4,436.5,436.4,-102.79961110237244,1.2984039308889116e-07,,,35.79961110237244,206.15125751499997,170.35040238982802,,,-1.0999999999999943
70.5,18447,-68.1,-78.1,23.0,0.01,223.0,22.0,437.5,437.6,437.5,-104.07747028068972,1.0074783276583768e-07,,,35.977470280689744,205.051250805,169.0725401098617,,,0.04999999999999716
70.0,18490,-66.9,-77.9,20.0,0.01,225.0,22.0,440.9,441.0,440.9,-104.42022521115595,9.40366036112147e-08,,,37.520225211155946,206.25125812499996,168.72978446757674,,,1.0
69.5,18533,-66.1,-77.1,20.0,0.02,226.0,20.0,443.5,443.6,443.6,-104.76472948660046,8.770963072753675e-08,,,38.664729486600464,207.05252600999998,168.38527952249555,,,0.10000000000000142
65.4,18898,-66.7,-77.7,20.0,0.01,230.0,4.0,450.0,450.1,450.1,-107.60418564303073,4.875618664308664e-08,,,40.90418564303076,206.45125934499998,165.54581928051263,,,-0.30000000000000426
65.1,18929,-66.7,-77.7,20.0,0.01,225.0,5.0,450.6,450.7,450.6,-107.82125602843998,4.656155876179373e-08,,,41.12125602843997,206.45125934499998,165.32874866731805,,,1.2000000000000028
62.2,19202,-64.3,-76.1,19.0,0.02,185.0,12.0,461.7,461.8,461.7,-109.92651068523674,2.956322549686292e-08,,,45.626510685236724,208.85254796999996,163.22349225826505,,,1.6000000000000014
61.3,19295,-63.5,-75.5,18.0,0.02,187.0,12.0,465.5,465.7,465.5,-110.60162473329493,2.5469271078579917e-08,,,47.101624733294926,209.65255772999998,162.54837779209814,,,1.3499999999999979
56.4,19812,-61.6,-74.5,17.0,0.03,200.0,11.0,481.1,481.3,481.1,-114.31579118511094,1.0913045331606667e-08,,,52.71579118511093,211.553871365,158.83420987224164,,,1.1000000000000014
55.6,19897,-61.3,-74.3,16.0,0.03,182.0,12.0,483.7,483.9,483.7,-114.95981337969474,9.368669683627737e-09,,,53.659813379694725,211.85387685499998,158.19018752434454,,,-0.5500000000000007
53.6,20117,-62.7,-75.2,17.0,0.03,135.0,15.0,485.4,485.6,485.4,-116.5864140809273,6.32805707176541e-09,,,53.886414080927295,210.453851235,156.56358652342612,,,-1.3999999999999986
51.8,20333,-64.1,-76.1,18.0,0.02,146.0,22.0,487.1,487.2,487.1,-118.08936673017428,4.3616922073196715e-09,,,53.98936673017428,209.05255040999998,155.060633682385,,,-0.34999999999999787
