pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
68.9,18593,-65.2,-75.2,24.0,0.02,180.0,15.0,446.4,446.6,446.4,-104.6757271430597,9.025016382422336e-08,,,-39.475727143059714,207.95253699,168.47428213188704,,
67.8,18695,-64.5,-74.5,24.0,0.02,186.0,18.0,450.1,450.3,450.1,-105.4445718349368,7.717485039107097e-08,,,-40.944571834936795,208.65254552999997,167.7054360600744,,
63.5,19094,-65.5,-75.5,24.0,0.02,209.0,27.0,456.4,456.6,456.5,-108.48489477811279,4.084507013169299e-08,,,-42.98489477811279,207.65253332999998,164.66510932459943,,
62.4,19202,-65.1,-75.3,23.0,0.02,215.0,30.0,459.6,459.8,459.6,-109.30027622502249,3.4248245522309115e-08,,,-44.20027622502249,208.05253821,163.84972719803247,,
57.4,19712,-63.3,-74.3,21.0,0.03,190.0,6.0,474.8,475.0,474.8,-113.05322487962906,1.4801788963170481e-08,,,-49.753224879629045,209.85384025499997,160.09677656589932,,
56.5,19812,-62.1,-73.7,20.0,0.03,185.0,1.0,479.7,479.9,479.7,-113.77078508976943,1.2529809837195759e-08,,,-51.67078508976945,211.05386221499998,159.3792161283952,,
55.7,19898,-61.1,-73.1,19.0,0.03,182.0,1.0,483.9,484.1,483.9,-114.41587286428057,1.0768496030919059e-08,,,-53.31587286428058,212.05388051499997,158.73412817840938,,
53.1,20194,-62.1,-73.1,22.0,0.04,172.0,3.0,488.2,488.5,488.3,-116.5339140244107,6.477818622849772e-09,,,-54.43391402441071,211.05514961999998,156.61608659445295,,
51.9,20336,-59.3,-71.3,20.0,0.05,168.0,3.0,498.0,498.3,498.0,-117.54565626668654,5.048199678835434e-09,,,-58.245656266686524,213.85652242499998,155.60434421248175,,
50.0,20570,-59.3,-71.3,20.0,0.05,160.0,4.0,503.3,503.7,503.3,-119.17403358135753,3.3498222524525436e-09,,,-59.87403358135754,213.85652242499998,153.97596673327564,,
